company_name_id,company_name,company_category
revelstone,Revelstone,Governance
rezolve-group,Rezolve Group,Education
rivet-software,Rivet Software,Finance & Investment
roadify-transit,Roadify Transit,Transportation
robinson--yu,Robinson + Yu,Research & Consulting
russell-investments,Russell Investments,Finance & Investment
sage-bionetworks,Sage Bionetworks,Scientific Research
sap,SAP,Data/Technology
sas,SAS,Data/Technology
scale-unlimited,Scale Unlimited,Data/Technology
science-exchange,Science Exchange,Scientific Research
seabourne,Seabourne,Data/Technology
seeclickfix,SeeClickFix,Governance
sigfig,SigFig,Finance & Investment
simple-energy,Simple Energy,Energy
simpletuition,SimpleTuition,Education
slashdb,SlashDB,Data/Technology
smart-utility-systems,Smart Utility Systems,Energy
smartasset,SmartAsset,Finance & Investment
smartprocure,SmartProcure,Governance
smartronix,Smartronix,Data/Technology
snapsense,SnapSense,Research & Consulting
social-explorer,Social Explorer,Data/Technology
social-health-insights,Social Health Insights,Healthcare
socialeffort-inc,SocialEffort Inc,Lifestyle & Consumer
socrata,Socrata,Data/Technology
solar-census,Solar Census,Energy
solarlist,SolarList,Energy
sophic-systems-alliance,Sophic Systems Alliance,Scientific Research
sp-capital-iq,S&P Capital IQ,Finance & Investment
spacecurve,SpaceCurve,Data/Technology
speso-health,SpeSo Health,Healthcare
spikes-cavell-analytic-inc,Spikes Cavell Analytic Inc,Data/Technology
splunk,Splunk,Data/Technology
spokeo,Spokeo,Lifestyle & Consumer
spotcrime,SpotCrime,Governance
spotherocom,SpotHero.com,Transportation
stamen-design,Stamen Design,Geospatial/Mapping
standard-and-poors,Standard and Poor's,Finance & Investment
state-farm-insurance,State Farm Insurance,Insurance
sterling-infosystems,Sterling Infosystems,Business & Legal Services
stevens-worldwide-van-lines,Stevens Worldwide Van Lines,Transportation
stillwater-supercomputing-inc,STILLWATER SUPERCOMPUTING INC,Research & Consulting
stocksmart,StockSmart,Finance & Investment
stormpulse,Stormpulse,Environment & Weather
streamlink-software,StreamLink Software,Data/Technology
streetcred-software-inc,"StreetCred Software, Inc",Governance
streeteasy,StreetEasy,Housing/Real Estate
suddath,Suddath,Transportation
symcat,Symcat,Healthcare
synthicity,Synthicity,Housing/Real Estate
t-rowe-price,T. Rowe Price,Finance & Investment
tableau-software,Tableau Software,Data/Technology
tagnifi,TagniFi,Finance & Investment
telenav,Telenav,Geospatial/Mapping
tendril,Tendril,Energy
teradata,Teradata,Data/Technology
the-advisory-board-company,The Advisory Board Company,Research & Consulting
the-bridgespan-group,The Bridgespan Group,Research & Consulting
the-docgraph-journal,The DocGraph Journal,Healthcare
the-govtech-fund,The Govtech Fund,Finance & Investment
the-schork-report,The Schork Report,Energy
the-vanguard-group,The Vanguard Group,Finance & Investment
think-computer-corporation,Think Computer Corporation,Business & Legal Services
thinknum,Thinknum,Finance & Investment
thomson-reuters,Thomson Reuters,Business & Legal Services
topcoder,TopCoder,Data/Technology
towerdata,TowerData,Data/Technology
transparagov,TransparaGov,Governance
transunion,TransUnion,Business & Legal Services
trialtrove,TrialTrove,Healthcare
trialx,TrialX,Healthcare
trintech,Trintech,Finance & Investment
truecar,TrueCar,Transportation
trulia,Trulia,Housing/Real Estate
trustedid,TrustedID,Lifestyle & Consumer
tuvalabs,TuvaLabs,Education
uber,Uber,Transportation
